# race_id	signature
TSAN-0036	Python/ceval.c:_PyEval_NoToolsForUnwind | Python/instrumentation.c:force_instrument_lock_held
TSAN-0037	Objects/bytesobject.c:striter_len | Objects/bytesobject.c:striter_len
TSAN-0037	Objects/bytesobject.c:striter_len | Objects/bytesobject.c:striter_next
TSAN-0037	Objects/bytesobject.c:striter_next | Objects/bytesobject.c:striter_next
TSAN-0038	Objects/unicodeobject.c:unicode_ascii_iter_next | Objects/unicodeobject.c:unicode_ascii_iter_next
TSAN-0038	Objects/unicodeobject.c:unicode_ascii_iter_next | Objects/unicodeobject.c:unicodeiter_len
TSAN-0038	Objects/unicodeobject.c:unicodeiter_len | Objects/unicodeobject.c:unicodeiter_next
TSAN-0038	Objects/unicodeobject.c:unicodeiter_next | Objects/unicodeobject.c:unicodeiter_next
TSAN-0039	Modules/_struct.c:unpackiter_iternext | Modules/_struct.c:unpackiter_iternext
TSAN-0039	Modules/_struct.c:unpackiter_iternext | Modules/_struct.c:unpackiter_len
TSAN-0039	Modules/_struct.c:unpackiter_len | Modules/_struct.c:unpackiter_len
TSAN-0040	Objects/setobject.c:setiter_iternext | Objects/setobject.c:setiter_iternext
TSAN-0040	Objects/setobject.c:setiter_iternext | Objects/setobject.c:setiter_len
TSAN-0041	Modules/_elementtree.c:clear_extra | Modules/_elementtree.c:create_extra
TSAN-0041	Modules/_elementtree.c:clear_extra | Modules/_elementtree.c:element_bool
TSAN-0041	Modules/_elementtree.c:create_extra | Modules/_elementtree.c:element_attrib_getter
TSAN-0041	Modules/_elementtree.c:create_extra | Modules/_elementtree.c:element_bool
TSAN-0041	Modules/_elementtree.c:create_extra | Modules/_elementtree.c:element_length
TSAN-0042	Modules/itertoolsmodule.c:_grouper_create | Modules/itertoolsmodule.c:_grouper_next
TSAN-0042	Modules/itertoolsmodule.c:_grouper_create | Modules/itertoolsmodule.c:groupby_next
TSAN-0042	Modules/itertoolsmodule.c:groupby_next | Modules/itertoolsmodule.c:groupby_next
TSAN-0042	Modules/itertoolsmodule.c:groupby_next | Modules/itertoolsmodule.c:groupby_step
TSAN-0043	Objects/descrobject.c:descr_get_qualname | Objects/descrobject.c:descr_get_qualname
TSAN-0044	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ssize | Modules/_collectionsmodule.c:dequeiter_next_lock_held
TSAN-0044	Objects/iterobject.c:iter_iternext | Objects/iterobject.c:iter_iternext
TSAN-0044	Objects/iterobject.c:iter_iternext | Objects/iterobject.c:iter_len
TSAN-0045	Objects/genericaliasobject.c:ga_iternext | Objects/genericaliasobject.c:ga_iternext
TSAN-0046	Modules/_io/textio.c:_io_IncrementalNewlineDecoder_reset_impl | Modules/_io/textio.c:incrementalnewlinedecoder_newlines_get
TSAN-0047	heap-use-after-free Objects/obmalloc.c:_PyMem_Strdup
TSAN-0048	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_uint64_relaxed | Modules/_csv.c:Reader_iternext_lock_held
TSAN-0049	Modules/_lsprof.c:getEntry | Objects/obmalloc.c:_PyMem_DebugRawFree
TSAN-0049	SEGV Modules/rotatingtree.c:RotatingTree_Get
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_GetBuffer | Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_Parse | Modules/expat/xmlparse.c:PyExpat_XML_Parse
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer | Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer | Modules/expat/xmlparse.c:callProcessor
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer | Modules/expat/xmlparse.c:doProlog
TSAN-0050	Modules/expat/xmlparse.c:PyExpat_XML_ParseBuffer | Modules/expat/xmlparse.c:errorProcessor
TSAN-0051	Objects/abstract.c:PyBuffer_Release | Objects/picklebufobject.c:picklebuf_raw
TSAN-0052	Objects/templateobject.c:templateiter_next | Objects/templateobject.c:templateiter_next
